time,open,high,low,close
2005-01-03 00:00:00,437.43,437.83,434.59,435.4
2005-01-03 04:00:00,435.46,435.59,431.62,433.98
2005-01-03 08:00:00,433.49,436.09,433.18,435.22
2005-01-03 12:00:00,435.62,435.8,428.9,430.59
2005-01-03 16:00:00,430.49,431.05,426.12,427.62
2005-01-03 20:00:00,427.51,429.91,426.33,428.6
2005-01-04 00:00:00,428.79,430.2,427.2,427.85
2005-01-04 04:00:00,428.28,429.15,427.35,428.83
2005-01-04 08:00:00,428.73,429.22,425.0,425.45
2005-01-04 12:00:00,425.43,428.31,424.79,427.97
2005-01-04 16:00:00,427.98,428.23,423.42,427.04
2005-01-04 20:00:00,426.7,428.16,425.48,426.87
2005-01-05 00:00:00,426.52,427.32,424.3,424.65
2005-01-05 04:00:00,425.41,427.17,424.49,426.76
2005-01-05 08:00:00,426.38,427.33,424.8,426.04
2005-01-05 12:00:00,425.57,426.81,424.28,426.41
2005-01-05 16:00:00,426.2,427.93,424.84,425.69
2005-01-05 20:00:00,425.38,426.23,425.04,425.61
2005-01-06 00:00:00,425.96,426.43,425.02,426.01
2005-01-06 04:00:00,426.14,426.93,425.46,425.8
2005-01-06 08:00:00,426.26,426.54,424.36,425.16
2005-01-06 12:00:00,424.85,425.67,422.71,424.89
2005-01-06 16:00:00,424.85,425.67,419.34,420.86
2005-01-06 20:00:00,420.55,421.38,419.48,420.67
2005-01-07 00:00:00,420.59,421.91,419.9,421.63
2005-01-07 04:00:00,421.63,422.64,420.83,422.15
2005-01-07 08:00:00,421.84,422.97,420.61,422.67
2005-01-07 12:00:00,422.26,424.48,419.99,422.72
2005-01-07 16:00:00,422.8,423.42,415.96,416.44
2005-01-07 20:00:00,416.58,418.73,416.3,418.73
2005-01-10 00:00:00,418.26,419.46,418.01,418.93
2005-01-10 04:00:00,418.79,419.73,418.35,419.08
2005-01-10 08:00:00,419.02,420.95,418.12,420.15
2005-01-10 12:00:00,419.9,421.26,418.22,419.0
2005-01-10 16:00:00,419.29,420.24,417.68,418.28
2005-01-10 20:00:00,418.28,419.1,417.63,418.61
2005-01-11 00:00:00,418.89,420.08,418.24,419.98
2005-01-11 04:00:00,419.4,421.02,419.19,420.94
2005-01-11 08:00:00,420.67,421.97,420.06,421.92
2005-01-11 12:00:00,421.38,422.34,419.59,421.31
2005-01-11 16:00:00,420.85,422.31,419.99,421.3
2005-01-11 20:00:00,421.15,422.36,420.4,420.51
2005-01-12 00:00:00,420.64,422.58,420.5,421.8
2005-01-12 04:00:00,421.55,422.43,421.16,422.16
2005-01-12 08:00:00,421.56,422.88,420.38,421.02
2005-01-12 12:00:00,420.98,423.41,419.44,423.12
2005-01-12 16:00:00,423.4,427.2,422.48,425.16
2005-01-12 20:00:00,425.1,426.24,424.75,425.42
2005-01-13 00:00:00,425.48,426.21,424.76,425.67
2005-01-13 04:00:00,425.33,426.58,424.91,425.89
2005-01-13 08:00:00,425.47,426.45,424.31,425.5
2005-01-13 12:00:00,425.1,425.67,422.77,423.74
2005-01-13 16:00:00,422.98,424.51,422.21,423.49
2005-01-13 20:00:00,423.4,425.27,423.22,424.45
2005-01-14 00:00:00,424.29,425.02,422.85,423.4
2005-01-14 04:00:00,423.29,423.81,421.48,422.35
2005-01-14 08:00:00,422.1,422.48,419.47,420.89
2005-01-14 12:00:00,420.9,421.69,419.85,420.55
2005-01-14 16:00:00,419.91,422.64,419.72,421.84
2005-01-14 20:00:00,422.18,422.7,421.35,421.53
2005-01-17 00:00:00,421.84,422.56,420.3,420.58
2005-01-17 04:00:00,420.83,422.4,420.02,420.88
2005-01-17 08:00:00,420.56,422.42,420.04,422.42
2005-01-17 12:00:00,421.86,422.82,420.99,421.7
2005-01-17 16:00:00,421.95,422.26,420.77,421.47
2005-01-17 20:00:00,421.94,422.01,421.03,421.6
2005-01-18 00:00:00,421.18,422.22,420.28,421.31
2005-01-18 04:00:00,421.38,422.6,420.4,421.14
2005-01-18 08:00:00,421.47,422.02,419.92,421.24
2005-01-18 12:00:00,421.44,423.47,420.86,423.03
2005-01-18 16:00:00,422.4,423.56,422.08,423.22
2005-01-18 20:00:00,423.29,423.3,421.6,422.13
2005-01-19 00:00:00,422.33,422.77,421.32,421.97
2005-01-19 04:00:00,421.52,422.52,421.3,422.1
2005-01-19 08:00:00,422.38,424.16,421.48,423.69
2005-01-19 12:00:00,423.37,426.58,422.87,425.34
2005-01-19 16:00:00,425.12,426.03,421.43,422.4
2005-01-19 20:00:00,422.38,422.97,420.98,422.33
2005-01-20 00:00:00,422.33,422.71,421.36,421.89
2005-01-20 04:00:00,422.03,422.75,421.35,421.72
2005-01-20 08:00:00,421.75,422.69,420.78,421.59
2005-01-20 12:00:00,421.36,422.0,419.24,419.94
2005-01-20 16:00:00,419.43,422.58,419.17,421.64
2005-01-20 20:00:00,421.44,422.27,420.74,421.68
2005-01-21 00:00:00,421.65,422.11,419.89,420.58
2005-01-21 04:00:00,420.69,422.1,419.69,421.78
2005-01-21 08:00:00,421.75,423.14,421.02,422.58
2005-01-21 12:00:00,422.56,423.28,421.12,422.97
2005-01-21 16:00:00,422.92,427.89,421.6,426.75
2005-01-21 20:00:00,426.25,427.19,425.48,427.01
2005-01-24 00:00:00,426.82,427.25,425.68,426.31
2005-01-24 04:00:00,426.13,427.05,425.71,426.7
2005-01-24 08:00:00,426.48,427.46,425.84,427.25
2005-01-24 12:00:00,427.01,427.57,425.51,426.07
2005-01-24 16:00:00,426.14,427.59,425.27,426.09
2005-01-24 20:00:00,426.17,427.26,425.67,426.65
2005-01-25 00:00:00,426.39,427.47,425.87,426.55
2005-01-25 04:00:00,426.99,427.16,425.74,426.66
2005-01-25 08:00:00,426.67,427.11,425.0,425.56
2005-01-25 12:00:00,425.33,426.21,423.26,424.51
2005-01-25 16:00:00,424.51,425.12,420.26,420.7
2005-01-25 20:00:00,420.78,421.92,420.24,421.57
2005-01-26 00:00:00,421.64,421.99,420.38,420.55
2005-01-26 04:00:00,420.94,421.79,420.26,421.71
2005-01-26 08:00:00,421.12,423.18,420.64,422.53
2005-01-26 12:00:00,422.12,424.6,422.09,424.49
2005-01-26 16:00:00,424.54,427.32,423.69,426.89
2005-01-26 20:00:00,426.56,427.16,425.14,425.94
2005-01-27 00:00:00,425.75,426.16,424.46,425.29
2005-01-27 04:00:00,425.54,426.7,424.75,426.58
2005-01-27 08:00:00,426.32,427.72,425.27,425.88
2005-01-27 12:00:00,425.62,426.24,423.06,424.08
2005-01-27 16:00:00,424.09,425.54,423.05,424.8
2005-01-27 20:00:00,424.53,425.97,424.32,425.03
2005-01-28 00:00:00,425.23,426.51,424.86,425.67
2005-01-28 04:00:00,425.68,426.7,425.01,426.41
2005-01-28 08:00:00,426.18,426.62,424.37,425.32
2005-01-28 12:00:00,425.33,427.13,424.48,426.38
2005-01-28 16:00:00,426.88,427.13,423.25,424.51
2005-01-28 20:00:00,424.07,426.31,423.75,425.7
2005-01-31 00:00:00,425.88,426.4,422.59,422.83
2005-01-31 04:00:00,422.84,423.76,422.04,422.86
2005-01-31 08:00:00,422.86,424.12,422.24,423.29
2005-01-31 12:00:00,422.58,424.51,421.85,422.68
2005-01-31 16:00:00,422.14,422.66,418.66,420.54
2005-01-31 20:00:00,420.39,422.18,419.75,421.41
2005-02-01 00:00:00,421.55,422.08,420.46,420.94
2005-02-01 04:00:00,421.16,421.97,420.36,421.83
2005-02-01 08:00:00,421.54,421.88,419.4,420.25
2005-02-01 12:00:00,420.43,421.75,419.0,419.53
2005-02-01 16:00:00,419.99,420.75,418.61,419.99
2005-02-01 20:00:00,419.92,420.73,419.33,420.3
2005-02-02 00:00:00,420.02,421.25,419.61,420.32
2005-02-02 04:00:00,420.85,421.52,420.04,421.41
2005-02-02 08:00:00,420.98,422.28,420.38,421.52
2005-02-02 12:00:00,421.3,421.81,420.21,421.5
2005-02-02 16:00:00,421.51,421.68,418.97,419.78
2005-02-02 20:00:00,419.57,421.54,419.54,421.29
2005-02-03 00:00:00,421.09,421.34,419.74,420.11
2005-02-03 04:00:00,420.4,420.85,419.52,420.77
2005-02-03 08:00:00,420.57,421.26,418.71,418.93
2005-02-03 12:00:00,418.95,419.86,413.67,414.1
2005-02-03 16:00:00,414.66,416.84,413.8,415.64
2005-02-03 20:00:00,415.31,416.77,415.0,416.62
2005-02-04 00:00:00,416.36,417.09,414.72,415.47
2005-02-04 04:00:00,415.15,416.08,414.35,415.55
2005-02-04 08:00:00,415.11,415.92,414.35,415.19
2005-02-04 12:00:00,415.56,417.09,413.47,415.02
2005-02-04 16:00:00,414.5,416.05,412.98,414.01
2005-02-04 20:00:00,413.64,414.44,413.02,413.48
2005-02-07 00:00:00,413.44,414.47,412.67,413.7
2005-02-07 04:00:00,413.89,414.28,412.9,413.7
2005-02-07 08:00:00,413.62,414.42,412.42,412.89
2005-02-07 12:00:00,413.03,415.79,412.83,414.61
2005-02-07 16:00:00,415.16,415.27,411.52,413.0
2005-02-07 20:00:00,412.98,413.8,412.08,412.96
2005-02-08 00:00:00,412.45,413.29,411.12,412.09
2005-02-08 04:00:00,412.13,412.47,411.01,412.14
2005-02-08 08:00:00,412.04,412.52,410.81,411.58
2005-02-08 12:00:00,411.3,413.13,409.89,412.47
2005-02-08 16:00:00,412.01,413.87,409.72,412.25
2005-02-08 20:00:00,411.89,412.87,411.39,412.1
2005-02-09 00:00:00,411.88,412.38,411.27,411.27
2005-02-09 04:00:00,411.58,412.36,411.16,411.95
2005-02-09 08:00:00,411.88,413.32,411.28,412.87
2005-02-09 12:00:00,412.82,413.17,409.9,410.52
2005-02-09 16:00:00,410.75,412.45,409.64,411.65
2005-02-09 20:00:00,411.64,413.2,411.22,412.82
2005-02-10 00:00:00,412.64,413.8,412.06,413.52
2005-02-10 04:00:00,413.45,414.42,412.88,413.7
2005-02-10 08:00:00,414.18,414.48,412.34,412.54
2005-02-10 12:00:00,412.48,413.45,410.75,413.07
