<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.02.07	10.75	11.10	10.65	11.10	833	6188	1000
2013.02.08	11.25	11.55	11.00	11.40	705	5160	1000
2013.02.11	11.55	11.60	11.10	11.35	1072	8857	1000
2013.02.12	11.20	11.50	11.10	11.15	986	7961	1000
2013.02.13	11.30	11.40	11.20	11.35	756	5391	1000
2013.02.14	11.55	11.80	11.50	11.65	926	7361	1000
2013.02.15	11.80	11.85	11.55	11.70	723	5403	1000
2013.02.18	11.80	12.00	11.70	11.75	1057	8707	1000
2013.02.19	11.70	11.80	11.25	11.40	1213	9943	1000
2013.02.20	11.50	11.65	11.40	11.60	559	3664	1000
2013.02.21	11.70	11.80	11.25	11.50	833	6413	1000
2013.02.22	11.60	11.75	11.45	11.45	672	5127	1000
2013.02.26	11.65	11.65	11.35	11.60	821	6041	1000
2013.02.27	11.70	11.80	11.55	11.55	813	6168	1000
2013.02.28	11.60	11.85	11.60	11.80	644	4739	1000
2013.03.01	11.95	12.00	11.55	11.60	500	3200	1000
2013.03.04	11.65	11.75	11.60	11.70	867	6582	1000
2013.03.05	11.70	11.80	11.65	11.75	478	3088	1000
2013.03.06	11.80	11.85	11.70	11.80	418	2488	1000
2013.03.07	11.80	12.30	11.75	12.10	659	4619	1000
2013.03.08	12.20	12.25	12.10	12.25	301	1516	1000
2013.03.11	12.35	12.60	12.30	12.30	523	3538	1000
2013.03.12	12.35	12.70	12.35	12.50	594	4374	1000
2013.03.13	12.50	12.50	12.20	12.20	707	5252	1000
2013.03.14	12.40	12.40	12.20	12.40	862	6802	1000
2013.03.15	12.50	12.50	12.10	12.15	739	5644	1000
2013.03.18	12.10	12.25	12.10	12.15	554	3974	1000
2013.03.19	12.20	12.45	12.00	12.05	1011	8256	1000
2013.03.20	11.85	12.30	11.85	12.30	1141	9466	1000
2013.03.21	12.30	12.40	11.90	11.90	590	4235	1000
2013.03.22	11.70	11.80	11.05	11.50	1101	8661	1000
2013.03.25	11.40	11.75	11.40	11.75	981	7641	1000
2013.03.26	11.60	12.25	11.60	12.00	814	6214	1000
2013.03.27	12.25	12.30	12.10	12.20	680	5045	1000
2013.03.28	12.30	12.30	12.10	12.25	701	5426	1000
2013.03.29	12.35	12.40	12.05	12.15	285	1590	1000
2013.04.01	12.15	12.25	12.00	12.05	185	815	1000
2013.04.02	12.20	12.30	12.10	12.30	528	3453	1000
2013.04.03	12.40	12.40	12.00	12.15	670	4765	1000
2013.04.04	11.85	12.20	11.80	12.20	533	3458	1000
2013.04.05	12.00	12.00	11.55	11.60	544	3694	1000
2013.04.09	11.25	11.40	11.05	11.25	945	7155	1000
2013.04.10	11.15	11.35	11.10	11.20	480	3225	1000
2013.04.11	11.30	12.10	11.30	12.00	674	4859	1000
2013.04.12	12.20	12.40	12.10	12.35	771	5721	1000
2013.04.17	12.50	13.00	12.50	13.00	1632	14007	1000
2013.04.18	13.50	13.65	13.00	13.65	621	4446	1000
2013.04.19	13.35	13.55	13.10	13.15	1076	8591	1000
2013.04.22	13.20	13.70	13.10	13.70	692	4922	1000
2013.04.23	13.75	13.95	13.30	13.30	413	2393	1000
2013.04.24	13.40	13.65	13.40	13.45	622	4492	1000
2013.04.25	13.45	13.45	13.15	13.35	1125	9180	1000
2013.04.26	13.50	13.95	13.35	13.80	723	5403	1000
2013.04.29	14.00	14.60	13.90	14.40	489	3414	1000
2013.04.30	14.60	14.75	14.30	14.45	610	4255	1000
2013.05.02	14.85	14.95	14.45	14.80	1124	9044	1000
2013.05.03	15.00	15.25	14.95	15.15	550	3610	1000
2013.05.07	15.35	15.35	15.10	15.20	556	3661	1000
2013.05.08	15.30	15.30	15.00	15.20	994	7744	1000
2013.05.09	15.30	15.30	14.75	14.75	587	4052	1000
2013.05.10	14.85	15.05	14.70	14.80	762	5577	1000
2013.05.13	15.10	15.25	15.00	15.15	1022	8042	1000
2013.05.14	15.20	15.40	15.15	15.20	419	2624	1000
2013.05.15	15.30	15.50	15.15	15.50	498	3153	1000
2013.05.16	15.60	16.20	15.50	16.05	1018	7903	1000
2013.05.17	15.90	16.45	15.75	16.05	842	6287	1000
2013.05.20	16.30	16.70	16.20	16.70	557	3842	1000
2013.05.21	17.00	17.60	17.00	17.35	982	7597	1000
2013.05.22	17.55	17.65	16.75	17.00	835	6280	1000
2013.05.23	16.80	16.95	15.90	16.75	1304	10754	1000
2013.05.27	16.70	16.75	16.40	16.75	963	7443	1000
2013.05.28	16.95	17.80	16.95	17.80	911	6941	1000
2013.05.29	17.80	18.80	17.80	18.50	993	7698	1000
2013.05.30	18.45	18.55	18.00	18.10	880	6595	1000
2013.05.31	18.35	18.55	17.70	18.50	1180	9550	1000
2013.06.03	18.25	18.30	16.60	16.60	1633	13873	1000
2013.06.04	16.40	16.60	15.55	16.15	2290	20380	1000
2013.06.05	15.95	16.70	15.85	15.90	953	7343	1000
2013.06.06	15.60	15.65	15.20	15.50	1549	13069	1000
2013.06.07	15.65	16.60	15.60	16.35	946	7156	1000
2013.06.10	16.60	16.90	16.60	16.85	798	5838	1000
2013.06.11	16.75	16.75	15.65	15.85	1323	10863	1000
2013.06.12	15.55	16.40	15.55	15.80	1619	13769	1000
2013.06.14	15.40	15.75	15.15	15.30	1141	9106	1000
2013.06.17	15.50	15.60	15.05	15.10	857	6392	1000
2013.06.18	15.15	15.90	15.10	15.35	1363	11263	1000
2013.06.19	15.55	15.75	15.30	15.55	1104	8709	1000
2013.06.20	15.20	15.70	15.10	15.50	1621	13861	1000
2013.06.21	15.20	15.35	14.55	14.90	1412	11672	1000
2013.06.24	14.80	15.00	13.70	13.70	1155	9255	1000
2013.06.25	14.10	14.30	12.80	13.95	1438	12013	1000
2013.06.26	14.60	15.40	14.30	15.40	1396	11656	1000
2013.06.27	16.00	16.20	15.35	15.70	1740	14925	1000
2013.06.28	16.15	17.40	16.15	16.85	1925	16775	1000
2013.07.02	16.95	17.25	16.40	16.50	1922	16727	1000
2013.07.03	16.60	16.80	16.35	16.80	1009	7939	1000
2013.07.04	16.90	16.90	16.30	16.65	673	4768	1000
2013.07.05	16.85	17.00	16.55	16.80	515	3215	1000
2013.07.08	16.50	16.65	16.10	16.10	1145	9200	1000
2013.07.09	16.30	16.30	15.70	15.70	766	5581	1000
2013.07.10	15.65	16.00	15.40	15.80	1036	8101	1000
2013.07.11	16.30	17.00	16.25	17.00	846	6291	1000
2013.07.12	17.20	17.35	16.85	17.05	1027	8047	1000
2013.07.15	17.25	17.35	16.90	17.30	703	4843	1000
2013.07.16	17.25	17.35	16.85	17.35	722	5132	1000
2013.07.17	17.35	18.05	17.20	17.80	1075	8365	1000
2013.07.18	18.30	19.15	18.25	18.80	1345	11020	1000
2013.07.19	19.20	19.85	18.95	19.45	1231	10006	1000
2013.07.23	19.40	19.40	18.90	19.20	1512	12717	1000
2013.07.24	19.35	19.85	19.30	19.35	1105	8800	1000
2013.07.25	19.20	19.30	18.35	18.40	1042	8197	1000
2013.07.26	18.55	19.20	18.30	19.00	1202	9752	1000
2013.07.29	19.00	19.05	18.45	18.85	555	3660	1000
2013.07.30	19.00	19.00	17.90	18.00	899	6794	1000
2013.07.31	18.20	18.35	17.45	17.80	1084	8599	1000
2013.08.01	18.05	18.40	17.75	18.20	885	6555	1000
2013.08.02	18.30	18.30	17.75	17.85	1185	9555	1000
2013.08.05	17.60	18.40	17.35	18.40	855	6390	1000
2013.08.06	18.00	18.55	18.00	18.15	976	7771	1000
2013.08.07	18.10	18.55	18.10	18.35	806	6161	1000
2013.08.08	18.60	18.75	18.35	18.35	702	5157	1000
2013.08.09	18.50	18.60	18.25	18.35	815	6035	1000
2013.08.13	18.30	18.50	18.10	18.20	508	3388	1000
2013.08.14	18.15	18.40	17.80	18.20	797	5837	1000
2013.08.15	18.20	18.55	18.15	18.30	384	2094	1000
2013.08.16	18.20	18.25	17.80	17.85	514	3259	1000
2013.08.19	17.70	17.75	17.30	17.30	633	4233	1000
2013.08.20	17.00	17.35	16.65	17.10	1150	9160	1000
2013.08.21	17.10	17.40	16.95	16.95	987	7692	1000
2013.08.22	16.75	17.25	16.70	16.80	843	6468	1000
2013.08.23	17.05	17.20	16.55	16.60	954	7434	1000
2013.08.26	16.60	16.80	16.45	16.45	521	3491	1000
2013.08.27	16.20	16.20	15.45	15.50	985	7600	1000
2013.08.28	15.00	15.50	14.25	14.95	1649	14069	1000
2013.08.29	15.05	15.70	14.95	15.70	851	6341	1000
2013.08.30	15.85	16.35	15.85	16.35	714	5079	1000
2013.09.02	16.60	16.90	16.50	16.90	657	4482	1000
2013.09.03	16.85	17.00	16.30	16.30	650	4610	1000
2013.09.04	16.45	16.60	16.10	16.15	947	7292	1000
2013.09.05	16.30	16.65	16.15	16.40	625	4225	1000
2013.09.06	16.35	16.75	16.30	16.60	544	3559	1000
2013.09.09	17.00	17.80	16.90	17.80	1137	9102	1000
2013.09.10	18.05	18.50	18.00	18.40	1325	10910	1000
2013.09.11	18.45	18.50	17.85	18.40	948	7383	1000
2013.09.12	18.40	18.65	18.00	18.00	854	6479	1000
2013.09.13	17.90	18.30	17.90	18.00	607	4207	1000
2013.09.16	18.50	19.15	18.40	18.95	851	6251	1000
2013.09.17	19.15	19.50	19.05	19.35	957	7347	1000
2013.09.18	19.15	19.45	19.00	19.35	828	6228	1000
2013.09.19	20.30	20.50	19.85	19.85	2199	19614	1000
2013.09.20	19.80	20.20	19.80	20.00	1418	11993	1000
2013.09.23	19.85	19.85	19.20	19.30	838	6058	1000
2013.09.24	19.00	19.10	18.10	18.10	1136	9056	1000
2013.09.25	18.25	18.60	18.10	18.60	906	6891	1000
2013.09.26	18.55	19.30	18.45	19.05	912	6852	1000
2013.09.27	19.20	19.35	18.60	18.75	858	6528	1000
2013.09.30	18.35	18.85	18.25	18.85	1228	9958	1000
2013.10.01	18.85	19.25	18.75	19.05	664	4534	1000
2013.10.02	19.30	19.30	18.85	19.00	808	5938	1000
2013.10.03	19.20	19.80	19.20	19.80	771	5766	1000
2013.10.04	19.65	19.80	19.35	19.70	606	4116	1000
2013.10.07	19.65	20.00	19.25	19.30	874	6679	1000
2013.10.08	19.35	19.80	19.20	19.75	638	4373	1000
2013.10.09	19.60	19.75	19.40	19.55	832	6187	1000
2013.10.10	19.65	20.00	19.65	20.00	583	3823	1000
2013.10.11	20.20	20.20	19.80	19.80	1062	8397	1000
2013.10.14	19.85	20.70	19.65	20.60	603	4383	1000
2013.10.15	20.70	21.10	20.40	20.90	2169	19449	1000
2013.10.16	20.80	22.00	20.80	22.00	2402	21752	1000
2013.10.17	22.30	22.50	21.90	22.50	1922	16952	1000
2013.10.21	21.60	21.70	20.60	20.60	1098	8928	1000
2013.10.22	20.60	21.30	20.40	21.30	1383	11553	1000
2013.10.24	21.00	22.10	21.00	21.60	2186	19556	1000
2013.10.25	21.80	21.80	21.40	21.40	1079	8909	1000
2013.10.28	21.70	21.80	21.10	21.20	948	8058	1000
2013.10.29	21.30	21.60	21.20	21.40	1039	8599	1000
2013.10.30	21.50	21.50	20.80	21.30	1827	16137	1000
2013.10.31	21.10	21.50	20.90	21.20	1270	10720	1000
2013.11.01	21.00	21.00	20.60	20.60	1751	15161	1000
2013.11.04	19.90	20.00	18.90	18.90	1462	12172	1000
2013.11.05	19.20	20.00	19.20	20.00	1244	10064	1000
2013.11.06	20.00	20.90	19.70	20.40	1663	14218	1000
2013.11.07	20.40	20.80	20.20	20.40	2060	18350	1000
2013.11.08	20.30	20.50	20.00	20.20	1407	11847	1000
2013.11.11	19.40	20.50	19.30	20.50	1538	13058	1000
2013.11.12	21.00	21.20	20.50	20.50	1607	13847	1000
2013.11.13	20.50	21.00	20.50	21.00	812	6392	1000
2013.11.14	21.20	21.20	20.90	21.00	1271	10631	1000
2013.11.15	21.20	21.20	20.70	20.90	955	7615	1000
2013.11.18	21.10	21.20	20.80	20.90	922	7492	1000
2013.11.19	21.00	21.10	20.80	20.90	1653	14343	1000
2013.11.20	21.00	21.20	20.70	20.80	728	5408	1000
2013.11.21	20.50	20.50	19.85	19.85	2489	22514	1000
2013.11.22	19.80	19.95	19.10	19.20	1301	10616	1000
2013.11.25	18.90	19.50	18.80	19.25	899	6749	1000
2013.11.26	19.25	19.40	18.65	18.70	1205	9710	1000
2013.11.27	18.85	19.10	18.80	19.00	852	6342	1000
2013.11.28	19.10	19.35	18.85	18.90	765	5490	1000
2013.11.29	18.80	18.95	18.75	18.75	643	4468	1000
